time,id,pos,sugar,age,vision,metabolism,sex,culture,children,has_reproduced,has_spread_culture,has_accepted_culture,total_inheritance_received,last_partner_id,last_credit_partner,traits
0,1,"(2, 21)",9.0,0,6,2,male,"Bool[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.37, conscientiousness = 3.55, extraversion = 2.96, agreeableness = 4.44, neuroticism = 3.69)"
0,2,"(10, 47)",6.0,0,6,1,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.7, conscientiousness = 3.82, extraversion = 2.65, agreeableness = 4.2, neuroticism = 1.0)"
0,3,"(30, 6)",14.0,0,1,4,female,"Bool[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.52, conscientiousness = 2.87, extraversion = 1.37, agreeableness = 3.61, neuroticism = 3.25)"
0,4,"(9, 13)",16.0,0,6,2,male,"Bool[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.64, conscientiousness = 3.15, extraversion = 3.35, agreeableness = 4.75, neuroticism = 2.63)"
0,5,"(3, 34)",22.0,0,6,1,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.91, conscientiousness = 3.18, extraversion = 4.18, agreeableness = 4.94, neuroticism = 3.61)"
0,6,"(26, 27)",11.0,0,3,2,female,"Bool[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 2.59, conscientiousness = 3.01, extraversion = 1.45, agreeableness = 2.78, neuroticism = 3.43)"
0,7,"(9, 40)",8.0,0,1,1,male,"Bool[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.03, conscientiousness = 3.77, extraversion = 3.4, agreeableness = 4.45, neuroticism = 2.31)"
0,8,"(33, 22)",15.0,0,4,3,male,"Bool[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.87, conscientiousness = 3.88, extraversion = 3.42, agreeableness = 3.42, neuroticism = 3.22)"
0,9,"(13, 19)",13.0,0,2,4,male,"Bool[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.85, conscientiousness = 4.54, extraversion = 2.69, agreeableness = 3.72, neuroticism = 3.79)"
0,10,"(39, 45)",14.0,0,6,1,male,"Bool[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 2.73, conscientiousness = 3.81, extraversion = 2.54, agreeableness = 3.56, neuroticism = 3.13)"
0,11,"(35, 1)",8.0,0,2,2,male,"Bool[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.11, conscientiousness = 1.91, extraversion = 2.96, agreeableness = 4.34, neuroticism = 4.03)"
0,12,"(21, 9)",8.0,0,6,2,male,"Bool[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.56, conscientiousness = 2.6, extraversion = 2.69, agreeableness = 4.05, neuroticism = 4.24)"
0,13,"(17, 26)",14.0,0,6,4,male,"Bool[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.99, conscientiousness = 1.78, extraversion = 3.78, agreeableness = 4.05, neuroticism = 3.23)"
0,14,"(13, 40)",10.0,0,2,2,male,"Bool[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.16, conscientiousness = 4.41, extraversion = 4.52, agreeableness = 3.97, neuroticism = 1.58)"
0,15,"(28, 20)",5.0,0,4,2,female,"Bool[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.16, conscientiousness = 2.46, extraversion = 3.68, agreeableness = 4.31, neuroticism = 4.13)"
0,16,"(38, 38)",11.0,0,6,3,female,"Bool[1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 2.28, conscientiousness = 3.69, extraversion = 2.95, agreeableness = 3.82, neuroticism = 2.92)"
0,17,"(13, 44)",22.0,0,1,2,male,"Bool[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.11, conscientiousness = 2.11, extraversion = 3.79, agreeableness = 3.59, neuroticism = 4.33)"
0,18,"(50, 21)",11.0,0,5,4,female,"Bool[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.14, conscientiousness = 3.89, extraversion = 3.93, agreeableness = 3.96, neuroticism = 1.91)"
0,19,"(48, 27)",22.0,0,4,2,female,"Bool[0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.56, conscientiousness = 3.22, extraversion = 2.26, agreeableness = 2.92, neuroticism = 4.65)"
0,20,"(13, 9)",14.0,0,4,1,male,"Bool[0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.62, conscientiousness = 3.01, extraversion = 3.02, agreeableness = 3.53, neuroticism = 2.71)"
0,21,"(6, 20)",24.0,0,4,1,female,"Bool[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.73, conscientiousness = 2.46, extraversion = 1.38, agreeableness = 2.18, neuroticism = 2.95)"
0,22,"(20, 18)",25.0,0,1,3,male,"Bool[1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 3.41, conscientiousness = 2.99, extraversion = 2.32, agreeableness = 2.63, neuroticism = 2.56)"
0,23,"(31, 2)",23.0,0,2,1,male,"Bool[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",Int64[],false,false,false,0.0,Int64[],Int64[],"(openness = 4.39, conscientiousness = 3.07, extraversion = 4.17, agreeableness = 4.69, neuroticism = 4.29)"
